id,text,label,sentiment
9235,getting cds ready for tour,1,neutral
16790," MC, happy mother`s day to your mom ;).. love yah",2,positive
24840,A year from now is graduation....i am pretty sure i`m not ready for it!?!?!?,0,negative
20744, because you had chips and sale w/o me,1,neutral
6414,Great for organising my work life balance,2,positive
22370, its my going away partyyy  `s.  you should come!,1,neutral
17036,"Is Watching Britains Got Talent, & Is biting her nails. Please don`t come off black nail varnish",1,neutral
20403," remember the guy who 1st #tweetbud you! ~> _2890  help him get 900 flwrs & make him smile!",2,positive
1896, She! Maybe that was our first mistake.  Not everyone is as cool as   (brown nose moment),0,negative
13534,"today i was so happy got i got off school early, but now i`m bored!!",1,neutral
3086, but but it was funny when I wrote it,2,positive
8975, I saw an all red Audi on the highway. I sped uo to it hoping it was you. My loss,0,negative
9976,I loved this app. Worked so great I purchased it. Now it has logged me out and says I don't exist.,2,positive
24958,	REALLY?? oh.. sorry yall  lol,0,negative
26304, i`m totally gonna have money to actually buy a pair of shoes this time,1,neutral
5669,"Widget is mostly useless - it constantly displays no items while having a list selected that is well populated. Alternately, the widget becomes logged out somehow. Hope this gets fixed.",0,negative
11470,Off to work at the church,1,neutral
2130,"Okay I guess. Very happy with dev response to my previous review, TY.",1,neutral
2847,"  i definitely will , although with the caveat  that i normally only read non fiction..but have more in recent years read novels",1,neutral
8938,Like the look but it messes up straight away. Instead of saving an entry the app cashed and deleted it instead. Don't get!!,0,negative
258,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",2,positive
26689," Oh I believe you...   sooo  thinks she belongs elsewhere, I say I dont think so...",2,positive
7303,ughh...i dont feel good,0,negative
3893,"1st- TY to those who follow back.  2nd - grrr to those who don`t, cuz it messes up being able to follow others u want to when ur at 2000+",1,neutral
15443, I accidently dropped it & now the screen is all messed,0,negative
